Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs
5,cfk,1.0,-1.0,-2.0,2.0,-0.6209856918333596,0.29210544377565384,0.08358398824930191,0.20852145552635193,0.7078945636749268,31,29,7,2,4,33
6,cfk,3.0,-1.0,-2.0,2.0,0.11018010805171194,0.7642855141311884,0.008466670289635658,0.7558188438415527,0.23571448028087616,65,63,20,0,18,39
7,cfk,2.0,0.0,0.0,3.0,-0.8933574069972472,0.7935361401177943,0.006471647415310144,0.7870644927024841,0.20646396279335022,32,33,18,1,3,21
8,cfk,1.0,0.0,0.0,5.0,-1.2951132825219438,0.37115195021033287,0.015618529170751572,0.3555334210395813,0.6288480758666992,28,17,3,0,0,9
9,cfk,2.0,-1.0,-2.0,2.0,-0.8395072691003547,0.4834155421704054,0.01276799850165844,0.47064754366874695,0.5165844559669495,58,64,14,0,14,35
10,cfk,2.0,0.0,0.0,3.0,-0.616937583372962,0.8067946135997772,0.007492035627365112,0.7993025779724121,0.19320538640022278,61,70,19,6,7,28
11,cfk,1.0,-1.0,-2.0,2.0,-1.3822012694774153,0.8058186867274344,0.007256160024553537,0.7985625267028809,0.19418135285377502,27,10,8,0,4,16
12,cfk,1.0,-1.0,-3.0,3.0,0.10154759522406248,0.863320283126086,0.007403961848467588,0.8559163212776184,0.1366797834634781,14,19,8,0,9,8
13,cfk,1.0,0.0,0.0,1.0,-1.1690172624546746,0.3397267758846283,0.03256288170814514,0.30716389417648315,0.6602732539176941,17,15,4,0,7,10
14,cfk,1.0,0.0,0.0,3.0,-0.9497260939663748,0.1646612212061882,0.02959270030260086,0.13506852090358734,0.8353387713432312,14,17,2,0,4,17
15,cfk,2.0,-1.0,-3.0,3.0,-0.6542186285407046,0.646210253238678,0.01728057861328125,0.6289296746253967,0.3537897765636444,23,21,1,0,3,12
16,cfk,5.0,-1.0,-4.0,4.0,0.21128856368212914,0.22736038267612457,0.06615228950977325,0.16120809316635132,0.7726396918296814,38,30,8,2,5,15
17,cfk,4.0,0.0,0.0,3.0,-0.23120541039228415,0.3673430513590574,0.018673134967684746,0.3486699163913727,0.6326569318771362,61,72,21,10,9,60
18,cfk,5.0,-1.0,-3.0,3.0,0.10586789601654602,0.106384152546525,0.026681499555706978,0.07970265299081802,0.8936158418655396,94,64,30,5,9,33
19,cfk,1.0,-1.0,-2.0,2.0,-0.19736916199731563,0.18099333345890045,0.05497853457927704,0.1260147988796234,0.8190066814422607,20,18,1,0,3,16
20,cfk,,,,,-1.025019629641265,0.18432333692908287,0.02116764709353447,0.1631556898355484,0.8156766295433044,24,42,12,1,2,31
21,cfk,2.0,0.0,0.0,3.0,-0.871174368038925,0.392029682174325,0.023859182372689247,0.36817049980163574,0.6079703569412231,30,36,5,0,2,18
22,cfk,2.0,0.0,0.0,1.0,-1.190667069028099,0.33782789669930935,0.021621888503432274,0.3162060081958771,0.6621720194816589,51,38,13,10,7,49
23,cfk,1.0,0.0,0.0,1.0,0.07625833391553835,0.6680138763040304,0.013213759288191795,0.6548001170158386,0.33198606967926025,35,35,19,0,1,25
24,cfk,5.0,-1.0,-5.0,5.0,0.25011154904994726,0.19332552328705788,0.14742137491703033,0.04590414837002754,0.8066744804382324,54,47,10,8,8,28
25,cfk,4.0,0.0,0.0,2.0,-0.5060141685950839,0.3125397190451622,0.06488210707902908,0.24765761196613312,0.6874603033065796,30,28,4,2,2,19
26,cfk,3.0,0.0,0.0,3.0,0.9114467342237873,0.21214021742343903,0.10166840255260468,0.11047181487083435,0.7878597974777222,88,89,17,4,17,60
27,cfk,1.0,0.0,0.0,1.0,-0.6751399510385769,0.48540791682899,0.01329093985259533,0.47211697697639465,0.5145921111106873,53,48,13,1,2,64
28,cfk,2.0,0.0,0.0,3.0,-0.9025883212471763,0.4959443314000964,0.014353464357554913,0.4815908670425415,0.5040556192398071,53,45,5,0,5,31
29,cfk,4.0,-1.0,-4.0,4.0,-0.1537182979318651,0.5435632541775703,0.014108128845691681,0.5294551253318787,0.4564366936683655,40,45,5,2,6,21
30,cfk,2.0,0.0,0.0,3.0,0.36828604912845847,0.3991554118692875,0.04288521781563759,0.3562701940536499,0.6008445620536804,51,42,12,0,7,27
1,arabia,2.0,0.0,0.0,2.0,-0.3691375270875858,0.17076991498470306,0.07749532163143158,0.09327459335327148,0.829230010509491,19,13,7,1,3,11
2,arabia,3.0,0.0,0.0,2.0,-0.8316594190942685,0.21350569278001785,0.10811291635036469,0.10539277642965317,0.786494255065918,30,17,7,8,8,19
3,arabia,3.0,-1.0,4.0,4.0,-0.44843322080921116,0.5795495957136154,0.028789862990379333,0.5507597327232361,0.4204504191875458,24,28,8,0,1,24
