Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
13,antesdevenir,5.0,0.0,0.0,3.0,-0.9792417328354092,0.34337731171399355,0.015547891147434711,0.32782942056655884,0.6566227078437805,23,18,2,0,11,3,0.7765058324578302,"[0.7765058324578302, 0.7712399974927518, 0.8284637755057321, 0.8456716647868444, 0.8680213974432011, 1.0783586009623933]",106.0,12.0,118
14,antesdevenir,5.0,-1.0,-3.0,3.0,-0.5393506212648549,0.23994213342666626,0.031249627470970154,0.2086925059556961,0.7600578665733337,22,28,3,5,4,15,0.7744489859693062,"[0.7744489859693062, 0.7734280661818865, 0.7559407992025758, 0.7696561305538948, 0.9099163063606771, 0.8369720438900287, 0.7931631804861691, 0.8066016944811988, 1.0411744263091622]",141.5,3.5,145
15,antesdevenir,4.0,0.0,0.0,1.0,-0.9457021759103253,0.3388409484177828,0.3144177794456482,0.02442316897213459,0.6611590385437012,20,16,3,1,4,9,0.8881512129349671,"[0.8881512129349671, 0.8408583102315424, 0.8794127897616524, 0.8298999214351168, 0.8068436425723062, 0.8747208484802375, 0.9614692280229044]",71.0,45.0,116
16,antesdevenir,5.0,0.0,0.0,2.0,-1.9015970731391623,0.5866617821156979,0.5613952279090881,0.025266554206609726,0.41333815455436707,15,18,9,2,3,8,0.9688489902637538,"[0.9688489902637538, 0.9735772392064116, 0.8278703836684119, 0.7136476719508754, 0.5431024773930309]",83.75,44.25,128
17,antesdevenir,5.0,1.0,4.0,4.0,-0.7589568906355413,0.23705128207802773,0.20106272399425507,0.03598855808377266,0.7629486322402954,42,69,7,7,5,23,0.9660555308963675,"[0.9660555308963675, 0.9241681555547212, 0.9089520787381599, 0.970608559029053, 0.9023781978590791, 0.9379661011235413, 0.9004253613443439, 0.8989153849992622, 0.8927807639847988, 0.8045235960361292, 0.7747039131801994]",282.5,36.5,319
18,antesdevenir,5.0,1.0,3.0,3.0,-1.115684750328215,0.6154463207349181,0.6004409790039062,0.015005341731011868,0.3845537006855011,32,32,10,2,10,23,0.8198769549541438,"[0.8198769549541438, 0.8084631640274254, 0.8261244564802285, 0.7662617852824062, 0.8016492766118056, 0.7578699382891578, 0.8405932205469305, 0.8972858956882759, 0.8499421556490716, 0.7530530757039652, 0.6374022259387917]",160.25,55.75,216
19,antesdevenir,5.0,1.0,1.0,1.0,1.1066770869135194,0.22441907227039337,0.11353425681591034,0.11088481545448303,0.7755810022354126,27,40,7,11,6,15,0.9834226125695271,"[0.9834226125695271, 0.9361265428951827, 0.919716335493561, 0.9390132298976903, 0.916462265136982, 0.9251010222245092, 0.8837386902645273, 0.8241202474543027]",199.75,4.25,204
20,antesdevenir,4.0,0.0,0.0,4.0,-0.48553561404059914,0.8253481318242848,0.006792121101170778,0.818556010723114,0.1746518462896347,32,45,5,0,7,18,0.9517321839810515,"[0.9517321839810515, 1.0102395406411477, 0.9496947175274741, 0.9887640835449928, 0.9576965424846273, 1.0240049254890686, 1.1081879078991794]",213.0,29.0,242
21,antesdevenir,5.0,-1.0,-4.0,4.0,0.18397471126287848,0.16788193583488464,0.1335144191980362,0.03436751663684845,0.832118034362793,42,46,14,7,5,28,0.8450471896170458,"[0.8450471896170458, 0.8803042908389362, 0.778141087047954, 0.7483146941977141, 0.7650581905118137, 0.734229915195977, 0.7880491092507372, 0.7400087167097704, 0.7944768953383354, 0.8593245239973529]",231.5,47.5,279
22,antesdevenir,5.0,-1.0,-5.0,5.0,-0.29040660220197534,0.8854250572621822,0.8803549408912659,0.005070116370916367,0.11457490921020508,97,78,34,10,19,57,0.9519395631189953,"[0.9519395631189953, 0.9262479167766361, 0.9167295947619152, 0.8963521524075173, 0.9015634788752763, 0.8693558270723898, 0.8849573666218672, 0.8178518629819184, 0.8877890493539699, 0.87852063648337, 0.8874883187351729, 0.9344269909348955, 0.9106610985469862, 0.9225460914422595, 0.8604992127759181, 0.9509306310814037, 0.9163594091547226, 0.9001395541177204, 0.9737691204297424]",420.0,153.0,573
23,antesdevenir,3.0,0.0,0.0,3.0,-1.394438105884124,0.802711776457727,0.008255532942712307,0.7944562435150146,0.1972881555557251,15,22,4,1,0,13,0.7036934211503978,"[0.7036934211503978, 0.7750560290498845, 0.7811215108687178, 0.8562897166679819, 0.8177851325050884, 0.9249264332926385]",34.0,96.0,130
24,antesdevenir,5.0,1.0,5.0,5.0,-1.0004461961997897,0.8890295727178454,0.005409072153270245,0.8836205005645752,0.11097037047147751,33,26,11,4,2,18,0.7676478361363912,"[0.7676478361363912, 0.8051396952046295, 0.744873419811283, 0.74336527637198, 0.6924486559425717, 0.751887728322514, 0.8055882755418984, 0.741007660851391, 0.6904045328226553, 0.6593867108362712, 0.5436814826033685, 0.5285390726989845, 0.512744401280916, 0.38487708539610244]",162.0,43.0,205
25,antesdevenir,5.0,1.0,2.0,2.0,-0.7810218689184989,0.20369628816843033,0.15017451345920563,0.0535217747092247,0.7963036894798279,37,32,5,3,1,16,0.8729607438056272,"[0.8729607438056272, 0.8997141263141317, 0.8767087718169285, 0.831677675471649, 0.8528412661020385, 0.7854767338683863, 0.7071414083608835, 0.6851653306957464, 0.7303965272300241, 0.7115114676059244, 0.782538776954947]",193.0,15.0,208
26,antesdevenir,5.0,0.0,0.0,3.0,-1.215262312298383,0.35041580349206924,0.2504834532737732,0.09993235021829605,0.6495842933654785,22,27,10,2,4,14,0.7702196240932814,"[0.7702196240932814, 0.8102812765990997, 0.8777502593702172]",93.75,67.25,161
27,antesdevenir,5.0,1.0,3.0,3.0,0.5786913866044946,0.23885296657681465,0.052414242178201675,0.18643872439861298,0.7611470222473145,46,45,10,9,15,30,0.9672796869047683,"[0.9672796869047683, 0.9927671219577989, 0.9673917371380826, 0.9563868557638946, 0.9495612581958621, 0.9724807486747574, 0.9291283286031391, 0.941166035189115, 1.0215759349397229]",216.75,105.25,322
28,antesdevenir,4.0,0.0,0.0,3.0,-1.3757192960944864,0.5993202663958073,0.011895153671503067,0.5874251127243042,0.4006797969341278,26,36,5,7,4,23,0.7690401679549473,"[0.7690401679549473, 0.7397615508215647, 0.684243512265235, 0.7037819103449957, 0.7416113606147303, 0.7424533717597324, 0.7637647513482766, 0.7689112647635318, 0.8594287957257334, 1.005564287145036, 0.9269422247100539, 0.8415582437056172, 1.0478622704155285]",168.0,51.0,219
29,antesdevenir,5.0,0.0,0.0,3.0,-0.874272819487482,0.6222310028970242,0.04868012294173241,0.5735508799552917,0.37776902318000793,26,23,8,0,2,2,0.8409692025776295,"[0.8409692025776295, 0.827468235054389, 0.8066656034546985, 0.6858594520504298, 0.7433786535072409, 0.6949743265239336, 0.6420305907733961]",100.0,32.0,132
30,antesdevenir,5.0,0.0,0.0,3.0,-0.778834431763461,0.2033306062221527,0.0741427093744278,0.12918789684772491,0.7966693639755249,18,20,7,4,7,26,0.7411128178936265,"[0.7411128178936265, 0.7287355264383687, 0.8505340955644576, 0.8134499588694662, 0.7595866793411021, 0.8400063037978008, 0.7592913442427575]",112.5,50.5,163
