Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
18.0,cfk,0.61165999552543,0.0413625304136253,0.0510948905109489,0.1532846715328467,0.1313868613138686,0.0559610705596107,0.0924574209245742,0.0097323600973236,0.0291970802919708,0.0128265200182795,0.5706759691238403,0.5835024891421199,-1.0,-0.5835024891421199,-1.0,-0.5835024891421199,1.004077733232552,0.9205194854017976,0.8882891059535396,178.0,23.0,13.637811634349031,4.056179775280899,0.0354330708661417,4.695162300059313,0.0737739342873258,0.0,3.0,19.0,0.0114581349584206,0.6302895322939867,0.3697104677060133
19.0,cfk,-0.9069974416956624,0.0394736842105263,0.0657894736842105,0.1184210526315789,0.1710526315789473,0.0,0.1578947368421052,0.0,0.0,0.033722698688507,0.3617511689662933,0.3954738676548004,0.0,0.0,-1.0,-0.3954738676548004,0.7150851028414879,0.6003726526735613,0.5935651063284635,44.0,6.0,13.333333333333336,3.1818181818181817,0.05,5.140100646160181,0.0379079254079254,1.0,0.5,2.333333333333333,0.0369978858350951,0.2291666666666666,0.7708333333333334
20.0,cfk,-0.7566905874670905,0.0324324324324324,0.0756756756756756,0.1513513513513513,0.1621621621621621,0.0216216216216216,0.1081081081081081,0.0108108108108108,0.0378378378378378,0.0075740884058177,0.5653428435325623,0.57291693193838,-1.0,-0.57291693193838,-1.0,-0.57291693193838,1.041744042620257,1.0430464392778522,1.0749374473176994,99.0,16.0,15.65568400770713,3.4545454545454546,0.0306748466257668,5.539500516152013,0.0315214675731609,0.0,1.0,7.0,0.0176252319109461,0.5797101449275363,0.4202898550724637
21.0,cfk,-0.4155313486006327,0.0504451038575667,0.0563798219584569,0.1483679525222551,0.1602373887240356,0.0148367952522255,0.1305637982195845,0.0,0.0178041543026706,0.0207553524523973,0.1486044377088546,0.169359790161252,0.0,0.0,0.0,0.0,0.9131175103223488,0.9291616201370524,0.8310810778762091,140.0,19.0,14.039548022598872,4.185714285714286,0.0297131147540983,4.972245690130881,0.0337969154623128,2.0,6.0,16.666666666666668,0.0150565262076053,0.60546875,0.39453125
22.0,cfk,-1.1664030239037593,0.0359281437125748,0.059880239520958,0.1137724550898203,0.1616766467065868,0.0658682634730539,0.0958083832335329,0.0,0.0239520958083832,0.0097020277753472,0.5753438472747803,0.5850458750501275,-1.0,-0.5850458750501275,-1.0,-0.5850458750501275,0.9292884410611884,0.8038754475426034,0.8897893205694819,86.0,13.0,17.202546296296294,3.3255813953488373,0.04,5.916751532654383,0.0336454243430987,2.0,2.0,2.6666666666666665,0.0195622435020519,0.8307291666666666,0.1692708333333333
23.0,cfk,0.7103762366016486,0.0328947368421052,0.0657894736842105,0.1019736842105263,0.1184210526315789,0.0657894736842105,0.0822368421052631,0.006578947368421,0.0098684210526315,0.0041963839903473,0.9514299035072328,0.95562628749758,-1.0,-0.95562628749758,-1.0,-0.95562628749758,1.0161285746619788,1.0151578991351284,0.9888227316504395,146.0,19.0,16.007352941176467,3.712328767123288,0.0402414486921529,5.169628407869935,0.0780516642442211,0.0,5.0,23.0,0.0128011336797354,0.7347972972972973,0.2652027027027027
24.0,cfk,0.7740884160997694,0.0483460559796437,0.099236641221374,0.1145038167938931,0.1577608142493638,0.0330788804071246,0.099236641221374,0.015267175572519,0.015267175572519,0.0930065214633941,0.1449577212333679,0.237964242696762,0.0,0.0,0.0,0.0,0.9812663163917412,1.0725808594370212,1.0116061101077023,182.0,27.0,12.9375,3.857142857142857,0.0420757363253856,4.817979327302532,0.0548657403786276,0.0,9.0,33.0,0.010655090765588,0.7336683417085427,0.2663316582914573
25.0,cfk,-0.2261335084333232,0.0350877192982456,0.043859649122807,0.087719298245614,0.1578947368421052,0.0,0.087719298245614,0.0,0.0350877192982456,0.1072443574666976,0.1504353582859039,0.2576797157526016,0.0,0.0,0.0,0.0,0.9212688032764798,0.987524267171748,1.0984292031215324,69.0,11.0,17.377777777777773,3.0144927536231885,0.0172413793103448,5.788768115942003,0.0316711299548828,0.0,1.0,3.0,0.0221653878942881,0.5289256198347108,0.4710743801652892
26.0,cfk,-0.6879244480048109,0.0197044334975369,0.083743842364532,0.1330049261083744,0.1477832512315271,0.0295566502463054,0.0985221674876847,0.0,0.0344827586206896,0.025853531435132,0.4944805204868316,0.5203340519219637,-1.0,-0.5203340519219637,-1.0,-0.5203340519219637,0.9295233745779364,0.7985604817115577,0.817234883111242,102.0,13.0,12.875000000000002,3.607843137254902,0.0186046511627906,4.879134117056331,0.0337600668687902,0.0,1.0,8.0,0.0178606095903708,0.819078947368421,0.1809210526315789
27.0,cfk,-0.8423273511113478,0.0578947368421052,0.0789473684210526,0.1368421052631579,0.1263157894736842,0.0368421052631578,0.1473684210526315,0.0105263157894736,0.0157894736842105,0.0522675514221191,0.1077997758984565,0.1600673273205757,0.0,0.0,0.0,0.0,0.9415451892511902,0.8882335062481482,0.8897600428462304,86.0,12.0,15.612482853223591,3.744186046511628,0.0289017341040462,4.954446527390892,0.0538876384167919,1.0,2.5,9.333333333333334,0.0220246238030095,0.4388888888888889,0.5611111111111111
28.0,cfk,-0.9809879310616696,0.0353535353535353,0.0808080808080808,0.1565656565656565,0.1363636363636363,0.0101010101010101,0.0909090909090909,0.0,0.0252525252525252,0.0092860888689756,0.4418315589427948,0.4511176478117704,0.0,0.0,-1.0,-0.4511176478117704,0.9655628366960876,0.9971477222288304,0.9402057041662232,96.0,16.0,11.90521978021978,3.75,0.0311284046692607,4.6941965289826735,0.05072641179861,0.0,2.0,9.0,0.0197368421052631,1.0,0.0
29.0,cfk,0.3772648133069739,0.0196078431372549,0.0823529411764705,0.1019607843137254,0.1450980392156863,0.0196078431372549,0.1058823529411764,0.0117647058823529,0.0431372549019607,0.0286524910479784,0.3312824070453644,0.3599348980933428,0.0,0.0,-1.0,-0.3599348980933428,0.9717247841538548,0.9210030778582275,0.9049268308704668,136.0,19.0,15.1271186440678,3.4411764705882355,0.0247813411078717,5.374215317011803,0.0746040995374184,0.0,3.0,17.0,0.0127450980392156,0.9498031496062992,0.0501968503937007
30.0,cfk,0.1969293361459967,0.0461538461538461,0.0538461538461538,0.1115384615384615,0.1653846153846153,0.0384615384615384,0.073076923076923,0.0,0.0384615384615384,0.0053129643201828,0.8215718865394592,0.826884850859642,-1.0,-0.826884850859642,-1.0,-0.826884850859642,1.000893907886877,0.9736966749619996,0.97460220968206,129.0,19.0,14.146090534979422,3.736434108527132,0.0285714285714285,5.015168334157871,0.0606596376306425,0.0,2.0,13.0,0.0145954457364341,0.5596846846846847,0.4403153153153153
31.0,cfk,-0.3830220737607701,0.0521472392638036,0.0337423312883435,0.1257668711656441,0.1380368098159509,0.0184049079754601,0.0674846625766871,0.0030674846625766,0.0337423312883435,0.3514383733272552,0.0455991178750991,0.3970374912023544,0.0,0.0,1.0,0.3970374912023544,0.9336175470679586,0.9700290291597056,0.9633339806028972,134.0,18.0,10.625,4.044776119402985,0.0265700483091787,4.526532215400114,0.0594659144752428,0.0,3.0,16.0,0.0152059252609134,0.8510479041916168,0.1489520958083832
32.0,cfk,-0.1372754485482611,0.0153061224489795,0.0612244897959183,0.1479591836734693,0.1530612244897959,0.0306122448979591,0.0765306122448979,0.010204081632653,0.0306122448979591,0.3825999498367309,0.0389927588403224,0.4215927086770534,0.0,0.0,1.0,0.4215927086770534,0.8441208115598142,0.8755043288217015,0.9316373945155711,111.0,17.0,19.49171270718232,3.225225225225225,0.0145348837209302,5.873558339856667,0.042068238778765,0.0,1.0,10.0,0.0146601146601146,0.7912234042553191,0.2087765957446808
33.0,cfk,-0.2781233864467571,0.0588235294117647,0.0522875816993464,0.1372549019607843,0.130718954248366,0.0326797385620915,0.0522875816993464,0.0130718954248366,0.0915032679738562,0.0368300415575504,0.371647834777832,0.4084778763353824,0.0,0.0,-1.0,-0.4084778763353824,0.8338576603253977,0.7408641046490233,0.8511025393054518,87.0,15.0,14.524137931034478,3.310344827586207,0.0323741007194244,5.5570389624754,0.0807059812012123,1.0,4.5,9.333333333333334,0.0192461908580593,0.9271523178807948,0.0728476821192053
34.0,cfk,-1.065204589146982,0.0404040404040404,0.0505050505050505,0.1818181818181818,0.1313131313131313,0.0303030303030303,0.1515151515151515,0.0,0.0101010101010101,0.0365303754806518,0.6251163482666016,0.6616467237472534,-1.0,-0.6616467237472534,-1.0,-0.6616467237472534,0.9269317427780116,0.9076533896650968,0.9741974607732046,66.0,13.0,14.625000000000004,2.878787878787879,0.0089285714285714,6.035143097643068,0.0193783068783068,0.0,2.0,2.0,0.0221445221445221,0.6857798165137615,0.3142201834862385
35.0,cfk,0.0950362766276487,0.0149812734082397,0.0805243445692883,0.1367041198501872,0.149812734082397,0.0393258426966292,0.0786516853932584,0.0093632958801498,0.0280898876404494,0.0277439337223768,0.1560442745685577,0.1837882082909345,0.0,0.0,0.0,0.0,0.9699848807542728,0.9640910816398084,0.9781973864454656,194.0,24.0,12.10088691796009,4.649484536082475,0.0270758122743682,4.2928185541904895,0.066292006844624,0.0,8.0,33.0,0.0120452967256022,0.6752717391304348,0.3247282608695652
36.0,cfk,-1.0722264296725077,0.0144230769230769,0.0288461538461538,0.1394230769230769,0.1490384615384615,0.0528846153846153,0.1009615384615384,0.0048076923076923,0.0192307692307692,0.059747789055109,0.3283572793006897,0.3881050683557987,0.0,0.0,-1.0,-0.3881050683557987,0.898062317019269,0.886953251801854,0.8847037858211012,110.0,17.0,13.749999999999996,3.4727272727272727,0.0175879396984924,5.360166619376175,0.0246176396346002,0.0,4.0,7.0,0.015929941618015,0.7029914529914529,0.297008547008547
37.0,cfk,-1.4969248303561593,0.0246913580246913,0.0534979423868312,0.0823045267489712,0.1522633744855967,0.0699588477366255,0.1275720164609053,0.0,0.0123456790123456,0.0120844300836324,0.3608798086643219,0.3729642387479543,0.0,0.0,-1.0,-0.3729642387479543,0.8219310253454835,0.9057913790724664,0.8610778639417094,114.0,17.0,15.879629629629632,3.789473684210526,0.0171755725190839,5.019117767207014,0.0348151633368351,0.0,1.0,9.0,0.0167675826734979,0.4983333333333333,0.5016666666666667
38.0,cfk,0.2300434605401312,0.0276008492569002,0.0636942675159235,0.1337579617834395,0.1104033970276008,0.0339702760084925,0.0891719745222929,0.0,0.0106157112526539,0.0121571533381938,0.6216092109680176,0.6337663643062115,-1.0,-0.6337663643062115,-1.0,-0.6337663643062115,1.0324091228790166,1.0156063836401137,1.0222850275737665,178.0,23.0,11.744245524296677,4.382022471910112,0.0537488708220415,4.247882938293076,0.1035205282694231,1.0,11.5,54.333333333333336,0.0123785945534183,0.5081967213114754,0.4918032786885246
39.0,cfk,-0.479701044209015,0.0267857142857142,0.0416666666666666,0.1845238095238095,0.1071428571428571,0.0416666666666666,0.1279761904761904,0.0,0.0089285714285714,0.0181833002716302,0.4029628336429596,0.4211461339145899,0.0,0.0,-1.0,-0.4211461339145899,0.9269162920144846,0.9755815802077868,0.990423544208256,137.0,17.0,12.01281138790036,4.102189781021898,0.0339702760084925,4.543970614975329,0.0438657426324176,0.0,5.0,11.0,0.0150815800772863,0.3613333333333333,0.6386666666666667
40.0,cfk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,cfk,-0.1038091327665559,0.03125,0.0416666666666666,0.1276041666666666,0.1171875,0.0286458333333333,0.0885416666666666,0.0104166666666666,0.0104166666666666,0.0245814695954322,0.205307051539421,0.2298885211348533,0.0,0.0,0.0,0.0,0.975224004705533,0.985286225299197,0.9215572304448688,150.0,18.0,12.509999999999998,4.32,0.0349206349206349,4.594688392293924,0.0550409585206908,0.0,8.0,16.0,0.014496644295302,0.5928770949720671,0.4071229050279329
42.0,cfk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
