Sujetos,Condición,Tiempo,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
39.0,presencial,2,3.0,1.0,2.0,2.0,-0.4062774149933494,0.0327868852459016,0.0368852459016393,0.1311475409836065,0.1639344262295081,0.0491803278688524,0.151639344262295,0.0081967213114754,0.0040983606557377,0.0421705506742,0.2085071951150894,0.2506777457892895,0,0.0,0.0,0.0,0.946039014667837,0.8453300881993797,0.8718710682875259,136.0,21.0,14.867841409691623,3.338235294117647,0.0129533678756476,6.035829142393159,0.0193157617451348,0.0,4.0,4.0,0.0123638344226579,0.6374045801526718,0.3625954198473282
40.0,presencial,2,4.0,1.0,4.0,4.0,0.2186385909736239,0.037719298245614,0.0666666666666666,0.1429824561403508,0.1482456140350877,0.0552631578947368,0.0807017543859649,0.0122807017543859,0.0289473684210526,0.0565305463969707,0.0796062126755714,0.1361367590725422,0,0.0,0.0,0.0,0.9507748094216169,0.90948481552559,0.9179345857729946,412.0,48.0,11.544364508393285,4.718446601941747,0.0222463374932175,4.244976761033305,0.0630207981707292,1.0,11.5,74.33333333333333,0.0057402026787612,0.5771452145214522,0.4228547854785479
41.0,presencial,2,,,,,-0.8001333191857128,0.025,0.0678571428571428,0.15,0.1392857142857143,0.0464285714285714,0.0785714285714285,0.0107142857142857,0.0214285714285714,0.0830892026424408,0.0746139958500862,0.157703198492527,0,0.0,0.0,0.0,0.8361412400149296,0.9050986612566024,0.7903543567204966,129.0,17.0,11.11538461538462,4.015503875968992,0.0225409836065573,4.536936443270508,0.0541194130479985,0.0,4.0,16.0,0.0156855620155038,0.6912698412698413,0.3087301587301587
42.0,presencial,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
43.0,presencial,2,3.0,1.0,2.0,2.0,-0.3927269889156944,0.0478260869565217,0.0478260869565217,0.1304347826086956,0.108695652173913,0.0739130434782608,0.0826086956521739,0.008695652173913,0.0260869565217391,0.0766062289476394,0.0985423848032951,0.1751486137509346,0,0.0,0.0,0.0,0.9376451915697568,0.8659014968034991,0.8692832409778227,108.0,17.0,14.26865671641791,3.685185185185185,0.0294117647058823,5.080252438626078,0.0630370310915116,1.0,2.5,10.333333333333334,0.0172204915195569,0.6391941391941391,0.3608058608058608
44.0,presencial,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
45.0,presencial,2,1.0,0.0,1.0,0.0,0.2416268819029574,0.008,0.04,0.136,0.104,0.044,0.092,0.02,0.088,0.0546315722167491,0.0704745277762413,0.1251060999929905,0,0.0,0.0,0.0,0.9995438131666254,0.9272967801490402,0.9327005345137188,118.0,14.0,11.769805680119578,3.76271186440678,0.0323529411764705,4.644096488019883,0.0371273158978332,0.0,6.0,6.0,0.0160799652325076,0.2621722846441947,0.7378277153558053
46.0,presencial,2,3.0,1.0,4.0,4.0,-0.0667842610268835,0.0077821011673151,0.0428015564202334,0.1478599221789883,0.1167315175097276,0.0894941634241245,0.0894941634241245,0.0155642023346303,0.0739299610894941,0.0577392093837261,0.1337746530771255,0.1915138624608516,0,0.0,0.0,0.0,0.9383190035862026,0.8284820827122031,0.7436252645782138,118.0,19.0,15.615781710914453,3.7796610169491527,0.0321428571428571,5.316120278388058,0.0354904823692288,2.0,5.0,8.666666666666666,0.0161523975083297,0.575,0.425
47.0,presencial,2,3.0,1.0,3.0,3.0,-0.9520897122350837,0.0384615384615384,0.0576923076923076,0.1826923076923076,0.0961538461538461,0.0576923076923076,0.0673076923076923,0.0192307692307692,0.0288461538461538,0.4294577836990356,0.0348024815320968,0.4642602652311325,0,0.0,1.0,0.4642602652311325,0.8897234248196609,0.931295976995632,0.8894966041327562,57.0,10.0,12.89247311827957,3.087719298245614,0.0,5.522102186469619,0.0156477051213893,0.0,1.0,2.0,0.0275689223057644,0.6724137931034483,0.3275862068965517
48.0,presencial,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
49.0,presencial,2,,,,,0.1221750725987402,0.0531561461794019,0.0697674418604651,0.1594684385382059,0.1063122923588039,0.0598006644518272,0.0897009966777408,0.0066445182724252,0.0531561461794019,0.3368493616580963,0.022972110658884,0.3598214723169803,0,0.0,1.0,0.3598214723169803,0.9719555707542956,0.962554947627328,0.941239619647959,161.0,26.0,17.09964412811388,3.4906832298136647,0.0181818181818181,5.705999812117179,0.0192204476881687,0.0,3.0,6.0,0.0109083850931677,0.5067164179104477,0.4932835820895522
50.0,presencial,2,4.0,1.0,5.0,5.0,1.8151469193996737,0.0699300699300699,0.0629370629370629,0.1724941724941724,0.1235431235431235,0.0675990675990676,0.0675990675990676,0.0163170163170163,0.0163170163170163,0.1104965507984161,0.0735408961772918,0.184037446975708,0,0.0,0.0,0.0,0.915791334173576,0.894945320901719,0.8901102153500192,204.0,28.0,13.2685664939551,3.784313725490196,0.0144,5.109625704847078,0.0437163066492192,1.0,5.5,16.333333333333332,0.0093209697672172,0.8570640176600441,0.1429359823399558
51.0,presencial,2,2.0,1.0,2.0,2.0,-0.6064774981525152,0.0632183908045977,0.0632183908045977,0.1206896551724138,0.1551724137931034,0.028735632183908,0.1149425287356321,0.0229885057471264,0.028735632183908,0.7179137468338013,0.0143399508669972,0.7322536977007985,1,0.7322536977007985,1.0,0.7322536977007985,1.0215729233418869,0.9361600288437958,1.0014515720210582,104.0,17.0,14.153846153846157,3.2115384615384617,0.0175438596491228,5.5969908952046,0.0059663715913715,1.0,2.5,1.3333333333333333,0.0155899925317401,0.6552631578947369,0.3447368421052632
52.0,presencial,2,3.0,1.0,4.0,4.0,1.1660326493712805,0.0130718954248366,0.0784313725490196,0.1830065359477124,0.0849673202614379,0.0784313725490196,0.1568627450980392,0.0065359477124183,0.0065359477124183,0.7925812005996704,0.0074921804480254,0.8000733810476959,1,0.8000733810476959,1.0,0.8000733810476959,0.8122209275052964,0.8088074307548575,0.8066628398108624,104.0,18.0,18.7248322147651,2.826923076923077,0.0192307692307692,6.969533217049047,0.0145566239316239,0.0,1.0,1.0,0.013722927557879,0.5,0.5
53.0,presencial,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
54.0,presencial,2,2.0,1.0,2.0,2.0,1.6046890026681275,0.0140350877192982,0.0736842105263157,0.1614035087719298,0.1017543859649122,0.0807017543859649,0.1052631578947368,0.0210526315789473,0.031578947368421,0.1301621794700622,0.3081458806991577,0.4383080601692199,0,0.0,-1.0,-0.4383080601692199,0.8140604926077145,0.7623536078285839,0.7520358359168424,155.0,22.0,14.22413793103448,3.367741935483871,0.0188679245283018,5.408771651041002,0.0229433608478952,0.0,1.0,6.0,0.0109342270632593,0.431438127090301,0.568561872909699
