Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm
26,campeones_del_mundo,1.3598761207800503,0.05307855626326964,0.08492569002123142,0.1337579617834395,0.1762208067940552,0.03397027600849257,0.09129511677282377,0.004246284501061571,0.025477707006369428
27,campeones_del_mundo,1.6878498775964426,0.018518518518518517,0.0625,0.1736111111111111,0.14814814814814814,0.037037037037037035,0.08564814814814815,0.009259259259259259,0.02546296296296296
28,campeones_del_mundo,1.3174877914978946,0.044444444444444446,0.013333333333333334,0.14074074074074075,0.14074074074074075,0.02962962962962963,0.11259259259259259,0.013333333333333334,0.04148148148148148
29,campeones_del_mundo,1.9118713305275703,0.039525691699604744,0.07509881422924901,0.17984189723320157,0.1482213438735178,0.041501976284584984,0.08893280632411067,0.01383399209486166,0.029644268774703556
30,campeones_del_mundo,1.0625958138788307,0.07692307692307693,0.05128205128205128,0.16783216783216784,0.1585081585081585,0.037296037296037296,0.08857808857808858,0.011655011655011656,0.009324009324009324
31,campeones_del_mundo,,0.05024424284717376,0.06908583391486392,0.14933705512909978,0.14096301465457084,0.04815073272854152,0.0851360781577111,0.009071877180739707,0.023028611304954642
32,campeones_del_mundo,1.5820250122916069,0.03492063492063492,0.08888888888888889,0.18095238095238095,0.14603174603174604,0.04126984126984127,0.09206349206349207,0.009523809523809525,0.01904761904761905
33,campeones_del_mundo,1.8877058736811556,0.035381750465549346,0.05027932960893855,0.15456238361266295,0.14338919925512103,0.0260707635009311,0.11731843575418995,0.0111731843575419,0.0297951582867784
34,campeones_del_mundo,1.9323231629356878,0.055408970976253295,0.052770448548812667,0.17150395778364116,0.11873350923482849,0.07651715039577836,0.07651715039577836,0.0,0.018469656992084433
35,campeones_del_mundo,1.353635188016505,0.054814814814814816,0.05185185185185185,0.14666666666666667,0.14222222222222222,0.034074074074074076,0.09925925925925926,0.011851851851851851,0.04
36,campeones_del_mundo,,0.026397515527950312,0.06521739130434782,0.14518633540372672,0.17003105590062112,0.049689440993788817,0.12189440993788819,0.010093167701863354,0.036490683229813664
37,campeones_del_mundo,1.462582308715951,0.04785894206549118,0.07808564231738035,0.15365239294710328,0.1561712846347607,0.0327455919395466,0.0906801007556675,0.010075566750629723,0.010075566750629723
38,campeones_del_mundo,0.9801095823773073,0.0475,0.06,0.13,0.1375,0.0375,0.0925,0.0075,0.035
39,campeones_del_mundo,1.3353684334621816,0.06619385342789598,0.05555555555555555,0.15839243498817968,0.15484633569739953,0.02955082742316785,0.10874704491725769,0.001182033096926714,0.009456264775413711
40,campeones_del_mundo,,0.04593929450369155,0.06480721903199343,0.15914684167350288,0.14766201804757997,0.045118949958982774,0.07875307629204266,0.012305168170631665,0.031173092698933553
41,campeones_del_mundo,1.9794327758380228,0.03687315634218289,0.06784660766961652,0.15781710914454278,0.11356932153392331,0.038348082595870206,0.09144542772861357,0.004424778761061947,0.02359882005899705
42,campeones_del_mundo,1.4669927012748214,0.06439393939393939,0.058712121212121215,0.13257575757575757,0.13825757575757575,0.05303030303030303,0.12310606060606061,0.011363636363636364,0.030303030303030304
43,campeones_del_mundo,0.6836602258050604,0.0725,0.0975,0.175,0.1475,0.03,0.0825,0.0075,0.03
