Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm
24,antesdevenir,-1.0004461961997897,0.05909090909090909,0.06818181818181818,0.15,0.11818181818181818,0.05,0.08181818181818182,0.01818181818181818,0.00909090909090909
25,antesdevenir,-0.7810218689184989,0.009389671361502348,0.0892018779342723,0.17370892018779344,0.15023474178403756,0.023474178403755867,0.07511737089201878,0.014084507042253521,0.004694835680751174
26,antesdevenir,-1.0161711671763016,0.043478260869565216,0.06832298136645963,0.13664596273291926,0.16770186335403728,0.062111801242236024,0.08695652173913043,0.012422360248447204,0.024844720496894408
27,antesdevenir,0.5786913866044946,0.03761755485893417,0.0438871473354232,0.14420062695924765,0.14106583072100312,0.03134796238244514,0.09404388714733543,0.02821316614420063,0.047021943573667714
28,antesdevenir,-1.3757192960944864,0.061224489795918366,0.03571428571428571,0.1326530612244898,0.1836734693877551,0.025510204081632654,0.11734693877551021,0.03571428571428571,0.02040816326530612
29,antesdevenir,-0.874272819487482,0.046511627906976744,0.06976744186046512,0.20155038759689922,0.17829457364341086,0.06201550387596899,0.015503875968992248,0.0,0.015503875968992248
30,antesdevenir,-0.778834431763461,0.014705882352941176,0.04411764705882353,0.1323529411764706,0.14705882352941177,0.051470588235294115,0.19117647058823528,0.029411764705882353,0.051470588235294115
31,antesdevenir,,0.04727272727272727,0.06727272727272728,0.13363636363636364,0.1809090909090909,0.035454545454545454,0.08818181818181818,0.01090909090909091,0.022727272727272728
32,antesdevenir,-0.9998398077682955,0.05128205128205128,0.03418803418803419,0.1623931623931624,0.19658119658119658,0.03418803418803419,0.1282051282051282,0.02564102564102564,0.02564102564102564
33,antesdevenir,-0.8221395410922793,0.05714285714285714,0.0,0.1,0.15714285714285714,0.04285714285714286,0.14285714285714285,0.014285714285714285,0.0
34,antesdevenir,-0.14946146011657238,0.07142857142857142,0.07539682539682539,0.15873015873015872,0.15079365079365079,0.04365079365079365,0.07142857142857142,0.03968253968253968,0.007936507936507936
35,antesdevenir,-0.14725738447041486,0.04792332268370607,0.06389776357827476,0.14057507987220447,0.1597444089456869,0.054313099041533544,0.051118210862619806,0.04153354632587859,0.04792332268370607
36,antesdevenir,-0.7558268968858917,0.03676470588235294,0.0625,0.16176470588235295,0.15808823529411764,0.04044117647058824,0.10294117647058823,0.01838235294117647,0.03676470588235294
37,antesdevenir,-0.5566544607799517,0.05063291139240506,0.046413502109704644,0.12658227848101267,0.16033755274261605,0.05907172995780591,0.11392405063291139,0.004219409282700422,0.0
38,antesdevenir,-1.9112136856357491,0.03896103896103896,0.07142857142857142,0.16883116883116883,0.16233766233766234,0.01948051948051948,0.07792207792207792,0.01948051948051948,0.025974025974025976
39,antesdevenir,-0.7207452140872038,0.04225352112676056,0.03755868544600939,0.1596244131455399,0.18309859154929578,0.014084507042253521,0.11267605633802817,0.009389671361502348,0.04225352112676056
40,antesdevenir,,0.036734693877551024,0.08571428571428572,0.1523809523809524,0.1346938775510204,0.050340136054421766,0.10068027210884353,0.021768707482993196,0.01904761904761905
41,antesdevenir,-0.6598109252793409,0.05084745762711865,0.05084745762711865,0.1694915254237288,0.11864406779661017,0.03389830508474576,0.0847457627118644,0.01694915254237288,0.022598870056497175
42,antesdevenir,-0.7001556074266193,0.0821917808219178,0.0547945205479452,0.1461187214611872,0.182648401826484,0.0273972602739726,0.0867579908675799,0.0319634703196347,0.0273972602739726
43,antesdevenir,-1.104985713801202,0.09917355371900827,0.04132231404958678,0.19008264462809918,0.19008264462809918,0.024793388429752067,0.049586776859504134,0.0,0.03305785123966942
44,antesdevenir,-1.0408903013885586,0.05202312138728324,0.06936416184971098,0.1791907514450867,0.16184971098265896,0.07514450867052024,0.10404624277456648,0.005780346820809248,0.0
45,antesdevenir,0.47300336604407883,0.0737527114967462,0.06724511930585683,0.12581344902386118,0.18655097613882862,0.01735357917570499,0.07809110629067245,0.006507592190889371,0.04338394793926247
46,antesdevenir,-0.694123165480016,0.060810810810810814,0.0472972972972973,0.14189189189189189,0.1554054054054054,0.013513513513513514,0.12162162162162163,0.02702702702702703,0.0472972972972973
47,antesdevenir,-1.5797518979472172,0.015625,0.09375,0.109375,0.171875,0.0625,0.15625,0.0,0.0625
48,antesdevenir,-0.5093271283081953,0.038461538461538464,0.07692307692307693,0.1778846153846154,0.15384615384615385,0.03365384615384615,0.0673076923076923,0.019230769230769232,0.014423076923076924
49,antesdevenir,-0.28719510678848004,0.06719367588932806,0.07114624505928854,0.1857707509881423,0.19367588932806323,0.03162055335968379,0.07509881422924901,0.007905138339920948,0.003952569169960474
50,antesdevenir,-1.1388134554744997,0.015384615384615385,0.07179487179487179,0.1641025641025641,0.16923076923076924,0.041025641025641026,0.12307692307692308,0.020512820512820513,0.010256410256410256
51,antesdevenir,-0.7406332995795868,0.03508771929824561,0.08771929824561403,0.20175438596491227,0.15789473684210525,0.008771929824561403,0.10526315789473684,0.0,0.008771929824561403
52,antesdevenir,-1.6530451111614843,0.0,0.011111111111111112,0.14444444444444443,0.1,0.022222222222222223,0.17777777777777778,0.011111111111111112,0.022222222222222223
53,antesdevenir,-1.4035131799278393,0.042042042042042045,0.057057057057057055,0.18018018018018017,0.16216216216216217,0.03303303303303303,0.08408408408408409,0.006006006006006006,0.024024024024024024
54,antesdevenir,-0.17259265437023857,0.026455026455026454,0.047619047619047616,0.14814814814814814,0.164021164021164,0.037037037037037035,0.14814814814814814,0.0,0.010582010582010581
55,antesdevenir,-1.4354282569053007,0.062146892655367235,0.06779661016949153,0.12994350282485875,0.15254237288135594,0.02824858757062147,0.14124293785310735,0.05084745762711865,0.005649717514124294
56,antesdevenir,-1.6327768511165999,0.06930693069306931,0.0594059405940594,0.1782178217821782,0.1782178217821782,0.019801980198019802,0.06930693069306931,0.0,0.039603960396039604
57,antesdevenir,-0.03276487914553316,0.03056768558951965,0.056768558951965066,0.19213973799126638,0.1572052401746725,0.034934497816593885,0.07423580786026202,0.008733624454148471,0.017467248908296942
58,antesdevenir,-0.30813916851843,0.04790419161676647,0.06287425149700598,0.15568862275449102,0.18263473053892215,0.02694610778443114,0.07784431137724551,0.005988023952095809,0.05688622754491018
59,antesdevenir,,0.048154093097913325,0.06902086677367576,0.14446227929373998,0.16853932584269662,0.051364365971107544,0.08025682182985554,0.011235955056179775,0.019261637239165328
60,antesdevenir,-1.526925856975534,0.02586206896551724,0.008620689655172414,0.14655172413793102,0.13793103448275862,0.0603448275862069,0.08620689655172414,0.008620689655172414,0.02586206896551724
61,antesdevenir,-0.9955849673999579,0.07692307692307693,0.0989010989010989,0.15384615384615385,0.17582417582417584,0.0,0.14285714285714285,0.0,0.054945054945054944
62,antesdevenir,-0.5806362234889286,0.07112970711297072,0.0502092050209205,0.1297071129707113,0.200836820083682,0.03765690376569038,0.14225941422594143,0.008368200836820083,0.012552301255230125
63,antesdevenir,0.8900955704985195,0.010554089709762533,0.06068601583113457,0.19525065963060687,0.11609498680738786,0.0316622691292876,0.10290237467018469,0.018469656992084433,0.036939313984168866
64,antesdevenir,-1.53125,0.055,0.045,0.17,0.165,0.035,0.08,0.01,0.01
65,antesdevenir,0.7677718959499145,0.026378896882494004,0.09352517985611511,0.16546762589928057,0.1342925659472422,0.06954436450839328,0.10071942446043165,0.002398081534772182,0.014388489208633094
