Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
11,cfk,1.0,0.0,2.0,0.0,-1.3822012694774153,0.0128205128205128,0.0769230769230769,0.173076923076923,0.0641025641025641,0.0512820512820512,0.1025641025641025,0.0,0.0256410256410256,0.0072561600245535,0.7985625267028809,0.8058186867274344,1.0231161798769344,1.031964996346929,1.1435277266865709,85.0,13.0,12.447849462365587,3.5764705882352943,0.0261904761904761,4.791756498298313,0.0670488343796659,0.0,5.0,11.0,0.0212885154061624,0.4198717948717949,0.5801282051282052
12,cfk,1.0,0.0,3.0,0.0,0.1015475952240624,0.0844155844155844,0.0584415584415584,0.0909090909090909,0.1233766233766233,0.0519480519480519,0.0519480519480519,0.0,0.0584415584415584,0.0074039618484675,0.8559163212776184,0.863320283126086,0.9785414534197352,0.8860289773830783,0.8841643861747802,84.0,14.0,13.200704225352112,3.333333333333333,0.0218978102189781,5.198761713520786,0.0177249117725308,0.0,1.0,2.0,0.0200803212851405,0.7980769230769231,0.2019230769230769
13,cfk,1.0,-1.0,1.0,-1.0,-1.1690172624546746,0.024,0.064,0.136,0.12,0.032,0.08,0.0,0.056,0.0325628817081451,0.3071638941764831,0.3397267758846283,0.7887128076720199,0.7517002400273859,0.5646978299845494,67.0,10.0,13.391304347826088,3.253731343283582,0.0434782608695652,5.360178684967848,0.0497609989269339,0.0,0.0,6.0,0.0246494798733604,0.4963768115942029,0.5036231884057971
14,cfk,1.0,-1.0,3.0,-3.0,-0.9497260939663748,0.0305343511450381,0.0687022900763358,0.1068702290076335,0.1297709923664122,0.015267175572519,0.1297709923664122,0.0,0.0305343511450381,0.0295927003026008,0.1350685209035873,0.1646612212061882,0.9301403388123826,0.8183381794217964,0.5064747938987012,81.0,15.0,16.740000000000002,3.037037037037037,0.01,5.9856666666667335,0.0207234009703145,0.0,1.0,5.0,0.0189814814814814,0.6678321678321678,0.3321678321678322
15,cfk,2.0,0.0,3.0,0.0,-0.6542186285407047,0.0359712230215827,0.0647482014388489,0.1654676258992805,0.1510791366906475,0.0071942446043165,0.0863309352517985,0.0,0.0215827338129496,0.0172805786132812,0.6289296746253967,0.646210253238678,0.9210405157775844,1.0163483167681442,1.0929085302887505,81.0,12.0,14.50746268656716,3.308641975308642,0.0132450331125827,5.124709784411186,0.0542774723057947,1.0,0.5,8.333333333333334,0.020679012345679,0.6540880503144654,0.3459119496855345
16,cfk,5.0,0.0,4.0,0.0,0.2112885636821291,0.0395256916996047,0.0553359683794466,0.150197628458498,0.1185770750988142,0.0316205533596837,0.0592885375494071,0.0079051383399209,0.0197628458498023,0.0661522895097732,0.1612080931663513,0.2273603826761245,0.9354866897327134,0.9766827360761284,0.9748845519704616,131.0,18.0,15.975,3.541984732824428,0.0165289256198347,5.362396506165811,0.0200457484300511,0.0,1.0,4.0,0.0136230182031708,0.8298076923076924,0.1701923076923077
17,cfk,4.0,-1.0,3.0,-3.0,-0.2312054103922841,0.0797413793103448,0.0323275862068965,0.1314655172413793,0.1551724137931034,0.0452586206896551,0.1293103448275862,0.021551724137931,0.0193965517241379,0.0186731349676847,0.3486699163913727,0.3673430513590574,0.9954783360454854,1.0338989191963657,1.0093723556786307,174.0,23.0,12.005141388174804,4.471264367816092,0.0449927431059506,4.643154538493878,0.0637447733184984,2.0,6.0,29.666666666666668,0.0129227293867517,0.6242632612966601,0.3757367387033399
18,cfk,5.0,0.0,3.0,0.0,0.105867896016546,0.0217391304347826,0.0543478260869565,0.1702898550724637,0.1159420289855072,0.0543478260869565,0.0597826086956521,0.0090579710144927,0.0163043478260869,0.0266814995557069,0.079702652990818,0.106384152546525,1.069723803849656,1.0138133271807546,1.0700240538168195,212.0,28.0,13.662470430936953,4.358490566037736,0.0263157894736842,4.557940105686542,0.082129521617627,0.0,4.0,32.0,0.0103281766967718,0.4735663082437276,0.5264336917562724
19,cfk,1.0,0.0,2.0,0.0,-0.1973691619973156,0.0359712230215827,0.0647482014388489,0.1438848920863309,0.1294964028776978,0.0071942446043165,0.1151079136690647,0.0,0.0215827338129496,0.054978534579277,0.1260147988796234,0.1809933334589004,0.8981350327367634,1.1102254576753836,0.8614448808570163,80.0,14.0,14.713178294573645,3.15,0.0048076923076923,5.477566807313622,0.0280505775497497,1.0,3.5,4.333333333333333,0.0199367088607594,0.5,0.5
20,cfk,,,,,-1.0250196296412653,0.0447154471544715,0.040650406504065,0.0975609756097561,0.1707317073170731,0.048780487804878,0.1260162601626016,0.0040650406504065,0.008130081300813,0.0211676470935344,0.1631556898355484,0.1843233369290828,0.822265512748484,0.795514154934034,0.7091810884987029,114.0,17.0,12.69097222222222,3.789473684210526,0.0426136363636363,4.6506453521134565,0.0944300143778191,1.0,3.5,24.33333333333333,0.0167675826734979,0.5598591549295775,0.4401408450704225
