Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
11,arabia,2.0,0.0,3.0,0.0,-0.5528805077909661,0.0530612244897959,0.0326530612244898,0.1265306122448979,0.1265306122448979,0.0489795918367346,0.1346938775510204,0.0081632653061224,0.0326530612244898,0.0497177094221115,0.1458122879266739,0.1955299973487854,0,0.0,0.0,0.0,0.7904588376777314,0.8060917790161292,0.8637553593070477,125.0,20.0,14.04867256637168,3.6,0.0337837837837837,5.1218716909314495,0.0587339494615619,0.0,4.0,14.0,0.014516129032258,0.6103773584905661,0.389622641509434
12,arabia,3.0,0.0,3.0,0.0,-0.8216123613583225,0.0186915887850467,0.0560747663551401,0.0747663551401869,0.1495327102803738,0.0654205607476635,0.0934579439252336,0.0093457943925233,0.0841121495327102,0.0497669912874698,0.2988565564155578,0.3486235477030277,0,0.0,-1.0,-0.3486235477030277,0.994526166827098,1.0357228666153446,0.864998990514934,57.0,10.0,15.760869565217387,3.192982456140351,0.032258064516129,5.480444090298195,0.0476921470342522,0.0,0.0,2.0,0.0285087719298245,0.6084558823529411,0.3915441176470588
13,arabia,3.0,0.0,2.0,0.0,0.4630522922710076,0.0711743772241993,0.0604982206405693,0.1530249110320284,0.1316725978647686,0.0498220640569395,0.092526690391459,0.0142348754448398,0.0391459074733096,0.0631710067391395,0.2271393835544586,0.2903103902935982,0,0.0,0.0,0.0,1.0491764230761362,0.9983500855793588,0.9707644197607718,140.0,21.0,13.925925925925926,3.4571428571428573,0.0181818181818181,5.275684848946098,0.0418263309937232,1.0,4.5,13.333333333333334,0.0124357656731757,0.8204113924050633,0.1795886075949367
14,arabia,3.0,-1.0,3.0,-3.0,-0.128975148563335,0.0581395348837209,0.0581395348837209,0.0930232558139534,0.1744186046511628,0.0406976744186046,0.1104651162790697,0.0116279069767441,0.0290697674418604,0.0480136014521122,0.2485404908657074,0.2965540923178196,0,0.0,0.0,0.0,0.9283355933000832,0.9180906174547512,0.9507368471630442,99.0,15.0,14.32924335378323,3.2525252525252526,0.0222222222222222,5.464885784517838,0.0353924966095054,1.0,3.5,5.333333333333333,0.0165945165945165,0.5036945812807881,0.4963054187192118
15,arabia,3.0,0.0,2.0,0.0,-0.20079977707685,0.036144578313253,0.0562248995983935,0.1646586345381526,0.1405622489959839,0.0321285140562249,0.0883534136546184,0.036144578313253,0.0040160642570281,0.0215536411851644,0.2917365133762359,0.3132901545614004,0,0.0,-1.0,-0.3132901545614004,1.103255614903772,1.0014488558121142,1.031817762372795,115.0,17.0,15.550239234449762,3.617391304347826,0.0197628458498023,5.256125804421621,0.0514949353951911,2.0,5.0,14.666666666666666,0.0158657513348588,0.9241803278688524,0.0758196721311475
16,arabia,2.0,-1.0,5.0,-5.0,0.7042952122737638,0.0253164556962025,0.0632911392405063,0.1392405063291139,0.1223628691983122,0.0632911392405063,0.0590717299578059,0.0295358649789029,0.0210970464135021,0.3331470787525177,0.1019768714904785,0.4351239502429962,0,0.0,1.0,0.4351239502429962,1.051333051784317,1.0694732161782852,1.0982220050458855,129.0,21.0,14.735496558505409,3.488372093023256,0.029090909090909,5.364004927377903,0.038765798724759,0.0,1.0,9.0,0.013626453488372,0.6774475524475524,0.3225524475524475
17,arabia,2.0,0.0,2.0,0.0,-0.8594809821104473,0.0498220640569395,0.0427046263345195,0.1601423487544484,0.1316725978647686,0.0355871886120996,0.1316725978647686,0.0035587188612099,0.0177935943060498,0.2241072058677673,0.0613768994808197,0.285484105348587,0,0.0,0.0,0.0,0.8274797647348923,0.8186901368221737,0.8390894747856605,131.0,18.0,13.37549407114625,3.84732824427481,0.0363636363636363,5.119261011142806,0.0394211419167379,1.0,6.5,13.333333333333334,0.0147974163241338,0.5673400673400674,0.4326599326599326
18,arabia,1.0,1.0,2.0,2.0,-0.7695781671971994,0.0371352785145888,0.0663129973474801,0.1511936339522546,0.1061007957559681,0.039787798408488,0.0848806366047745,0.0212201591511936,0.0079575596816976,0.0247224103659391,0.1833758503198623,0.2080982606858015,0,0.0,0.0,0.0,1.0658059864268472,1.0506582525413426,1.0638764870275732,150.0,22.0,12.30980392156863,4.08,0.0300207039337474,4.771089894869306,0.039448504744774,0.0,8.0,15.0,0.0136912751677852,0.4426328502415459,0.5573671497584541
19,arabia,1.0,0.0,1.0,0.0,-0.9727480127010556,0.0161290322580645,0.032258064516129,0.064516129032258,0.1774193548387097,0.032258064516129,0.1290322580645161,0.0,0.0,0.0082062138244509,0.7804702520370483,0.7886764658614993,-1,-0.7886764658614993,-1.0,-0.7886764658614993,1.0949058512074936,1.0432239894010644,1.1295352260256148,41.0,10.0,15.422131147540982,2.926829268292683,0.046875,5.949195321871221,0.0323355506282335,0.0,1.0,2.0,0.0365853658536585,0.4367088607594936,0.5632911392405063
20,arabia,3.0,-1.0,3.0,-3.0,-0.5626047591264086,0.0459183673469387,0.0612244897959183,0.1785714285714285,0.1326530612244898,0.0561224489795918,0.1173469387755102,0.0,0.0153061224489795,0.0049923011101782,0.9405598640441896,0.9455521651543676,-1,-0.9455521651543676,-1.0,-0.9455521651543676,0.8092168400419604,0.799722768890587,0.866491781138494,116.0,18.0,18.005376344086017,3.206896551724138,0.0161290322580645,6.014468975189698,0.0424162846956964,0.0,4.0,7.0,0.0139430284857571,0.8415948275862069,0.1584051724137931
21,arabia,1.0,0.0,1.0,0.0,-1.1417254140137465,0.0251572327044025,0.050314465408805,0.1320754716981132,0.1069182389937107,0.0440251572327044,0.1509433962264151,0.0,0.0314465408805031,0.0095080565661191,0.7803085446357727,0.7898166012018919,-1,-0.7898166012018919,-1.0,-0.7898166012018919,0.999617671126283,1.0498919913292266,1.0231746650532578,84.0,13.0,13.947019867549669,3.5476190476190474,0.0454545454545454,5.056056297090109,0.0518102064057946,0.0,1.0,10.0,0.0213711990820424,0.4375,0.5625
22,arabia,5.0,-1.0,2.0,-2.0,-0.6872956252113417,0.0224719101123595,0.048689138576779,0.2022471910112359,0.1123595505617977,0.0580524344569288,0.0823970037453183,0.0168539325842696,0.0205992509363295,0.1030203327536583,0.0474279522895813,0.1504482850432396,0,0.0,0.0,0.0,0.9381336494253492,0.902180897681226,0.9020659233701992,229.0,30.0,12.246315789473682,4.131004366812227,0.0158061116965226,4.7656869712015055,0.0382771027122967,5.0,10.5,27.666666666666668,0.0090592201026583,0.7085561497326203,0.2914438502673797
23,arabia,3.0,0.0,2.0,0.0,0.1851988109377355,0.0444444444444444,0.0703703703703703,0.1407407407407407,0.1333333333333333,0.0222222222222222,0.0962962962962963,0.0,0.0222222222222222,0.0167603660374879,0.5813242793083191,0.5980846453458071,-1,-0.5980846453458071,-1.0,-0.5980846453458071,0.9503396147548008,0.9579670205635183,0.9837453430522808,117.0,18.0,14.696035242290746,3.8632478632478633,0.0444444444444444,4.806310846421641,0.0667166262975629,0.0,4.0,17.0,0.0166519304450338,0.850418410041841,0.1495815899581589
24,arabia,3.0,1.0,4.0,4.0,-0.2673606213982197,0.0423076923076923,0.0692307692307692,0.1576923076923077,0.1384615384615384,0.0346153846153846,0.1076923076923077,0.0,0.0153846153846153,0.0264782458543777,0.4266473650932312,0.4531256109476089,0,0.0,-1.0,-0.4531256109476089,1.0574412177346804,1.0212340772809272,0.983758448089576,147.0,20.0,16.432653061224492,3.333333333333333,0.0145985401459854,5.771251704484067,0.0306995742019751,0.0,0.0,7.0,0.0114155251141552,0.6941489361702128,0.3058510638297872
