Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
29.0,arabia,0.008697638288140297,0.6605324149131775,0.6692300532013178,-1,-0.6692300532013178,-1.0,-0.6692300532013178
30.0,arabia,0.016626840457320213,0.5127299427986145,0.5293567832559347,-1,-0.5293567832559347,-1.0,-0.5293567832559347
31.0,arabia,0.13796226680278778,0.07914489507675171,0.2171071618795395,0,0.0,0.0,0.0
32.0,arabia,0.014157049357891083,0.539368748664856,0.553525798022747,-1,-0.553525798022747,-1.0,-0.553525798022747
33.0,arabia,0.04142620414495468,0.3859906494617462,0.4274168536067009,0,0.0,-1.0,-0.4274168536067009
34.0,arabia,0.12890206277370453,0.1124575212597847,0.24135958403348923,0,0.0,0.0,0.0
35.0,arabia,0.052325066179037094,0.3946240544319153,0.4469491206109524,0,0.0,-1.0,-0.4469491206109524
36.0,arabia,0.5531066060066223,0.011384817771613598,0.5644914237782359,1,0.5644914237782359,1.0,0.5644914237782359
37.0,arabia,0.19202275574207306,0.0401344932615757,0.23215724900364876,0,0.0,0.0,0.0
38.0,arabia,0.032748911529779434,0.4368186593055725,0.46956757083535194,0,0.0,-1.0,-0.46956757083535194
39.0,arabia,0.040500808507204056,0.261140376329422,0.30164118483662605,0,0.0,-1.0,-0.30164118483662605
40.0,arabia,0.07270071655511856,0.13596656918525696,0.20866728574037552,0,0.0,0.0,0.0
41.0,arabia,0.2551257014274597,0.03886769711971283,0.29399339854717255,0,0.0,0.0,0.0
42.0,arabia,,,,0,,,
43.0,arabia,0.633854866027832,0.03215800225734711,0.6660128682851791,1,0.6660128682851791,1.0,0.6660128682851791
44.0,arabia,,,,0,,,
45.0,arabia,0.5524358749389648,0.024870580062270164,0.577306455001235,1,0.577306455001235,1.0,0.577306455001235
46.0,arabia,0.0037553785368800163,0.9526454210281372,0.9564007995650172,-1,-0.9564007995650172,-1.0,-0.9564007995650172
47.0,arabia,0.01390258502215147,0.7166402339935303,0.7305428190156817,-1,-0.7305428190156817,-1.0,-0.7305428190156817
48.0,arabia,0.011224648915231228,0.5221403241157532,0.5333649730309844,-1,-0.5333649730309844,-1.0,-0.5333649730309844
49.0,arabia,0.022521480917930603,0.35190480947494507,0.37442629039287567,0,0.0,-1.0,-0.37442629039287567
50.0,arabia,0.038621220737695694,0.2567896544933319,0.2954108752310276,0,0.0,0.0,0.0
51.0,arabia,0.22160197794437408,0.0578218437731266,0.2794238217175007,0,0.0,0.0,0.0
52.0,arabia,0.05840618163347244,0.5693721175193787,0.6277782991528511,-1,-0.6277782991528511,-1.0,-0.6277782991528511
53.0,arabia,,,,0,,,
54.0,arabia,0.06526389718055725,0.5110337734222412,0.5762976706027985,-1,-0.5762976706027985,-1.0,-0.5762976706027985
55.0,arabia,0.022411886602640152,0.4783584773540497,0.5007703639566898,0,0.0,-1.0,-0.5007703639566898
56.0,arabia,0.019557928666472435,0.7702891230583191,0.7898470517247915,-1,-0.7898470517247915,-1.0,-0.7898470517247915
57.0,arabia,0.07793785631656647,0.060142066329717636,0.1380799226462841,0,0.0,0.0,0.0
58.0,arabia,0.1858455091714859,0.10061834752559662,0.2864638566970825,0,0.0,0.0,0.0
59.0,arabia,0.00891064666211605,0.7615525722503662,0.7704632189124823,-1,-0.7704632189124823,-1.0,-0.7704632189124823
60.0,arabia,0.012592229060828686,0.7486286163330078,0.7612208453938365,-1,-0.7612208453938365,-1.0,-0.7612208453938365
61.0,arabia,0.01286447886377573,0.6881662011146545,0.7010306799784303,-1,-0.7010306799784303,-1.0,-0.7010306799784303
62.0,arabia,,,,0,,,
63.0,arabia,0.175617054104805,0.0815625712275505,0.2571796253323555,0,0.0,0.0,0.0
64.0,arabia,0.1246555969119072,0.08920615166425705,0.21386174857616425,0,0.0,0.0,0.0
65.0,arabia,0.006311359815299511,0.8197511434555054,0.8260625032708049,-1,-0.8260625032708049,-1.0,-0.8260625032708049
