Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
23.0,presencial,0.04955657199025154,0.0832713395357132,0.13282791152596474,0,0.0,0.0,0.0
24.0,presencial,0.03660149499773979,0.3016853332519531,0.3382868282496929,0,0.0,-1.0,-0.3382868282496929
25.0,presencial,0.6760688424110413,0.014510052278637886,0.6905788946896791,1,0.6905788946896791,1.0,0.6905788946896791
26.0,presencial,0.042327459901571274,0.13667459785938263,0.1790020577609539,0,0.0,0.0,0.0
27.0,presencial,0.011304556392133236,0.5021514296531677,0.513455986045301,-1,-0.513455986045301,-1.0,-0.513455986045301
28.0,presencial,0.006671458948403597,0.7621942162513733,0.7688656751997769,-1,-0.7688656751997769,-1.0,-0.7688656751997769
29.0,presencial,0.02544700726866722,0.1583828181028366,0.18382982537150383,0,0.0,0.0,0.0
30.0,presencial,0.08025069534778595,0.058176640421152115,0.13842733576893806,0,0.0,0.0,0.0
31.0,presencial,0.10767536610364914,0.08037060499191284,0.18804597109556198,0,0.0,0.0,0.0
32.0,presencial,0.011520042084157467,0.7143767476081848,0.7258967896923423,-1,-0.7258967896923423,-1.0,-0.7258967896923423
33.0,presencial,0.4419085383415222,0.031071802601218224,0.47298034094274044,0,0.0,1.0,0.47298034094274044
34.0,presencial,0.20081497728824615,0.036392975598573685,0.23720795288681984,0,0.0,0.0,0.0
35.0,presencial,0.012419705279171467,0.5274892449378967,0.5399089502170682,-1,-0.5399089502170682,-1.0,-0.5399089502170682
36.0,presencial,0.24711546301841736,0.02272867225110531,0.26984413526952267,0,0.0,0.0,0.0
37.0,presencial,0.37112584710121155,0.05986838415265083,0.4309942312538624,0,0.0,1.0,0.4309942312538624
38.0,presencial,0.14752337336540222,0.0727948248386383,0.22031819820404053,0,0.0,0.0,0.0
39.0,presencial,0.04217055067420006,0.20850719511508942,0.2506777457892895,0,0.0,0.0,0.0
40.0,presencial,0.05653054639697075,0.07960621267557144,0.1361367590725422,0,0.0,0.0,0.0
41.0,presencial,0.0830892026424408,0.07461399585008621,0.157703198492527,0,0.0,0.0,0.0
42.0,presencial,,,,0,,,
43.0,presencial,0.07660622894763947,0.09854238480329514,0.1751486137509346,0,0.0,0.0,0.0
44.0,presencial,,,,0,,,
45.0,presencial,0.05463157221674919,0.0704745277762413,0.1251060999929905,0,0.0,0.0,0.0
46.0,presencial,0.05773920938372612,0.13377465307712555,0.19151386246085167,0,0.0,0.0,0.0
47.0,presencial,0.42945778369903564,0.03480248153209686,0.4642602652311325,0,0.0,1.0,0.4642602652311325
48.0,presencial,,,,0,,,
49.0,presencial,0.3368493616580963,0.02297211065888405,0.35982147231698036,0,0.0,1.0,0.35982147231698036
50.0,presencial,0.11049655079841614,0.07354089617729187,0.184037446975708,0,0.0,0.0,0.0
51.0,presencial,0.7179137468338013,0.014339950866997242,0.7322536977007985,1,0.7322536977007985,1.0,0.7322536977007985
52.0,presencial,0.7925812005996704,0.007492180448025465,0.8000733810476959,1,0.8000733810476959,1.0,0.8000733810476959
53.0,presencial,,,,0,,,
54.0,presencial,0.13016217947006226,0.3081458806991577,0.43830806016921997,0,0.0,-1.0,-0.43830806016921997
55.0,presencial,0.02250431850552559,0.2373703420162201,0.2598746605217457,0,0.0,0.0,0.0
56.0,presencial,0.06201193109154701,0.31346291303634644,0.37547484412789345,0,0.0,-1.0,-0.37547484412789345
57.0,presencial,0.3337959945201874,0.04480482637882233,0.3786008208990097,0,0.0,1.0,0.3786008208990097
58.0,presencial,0.18405140936374664,0.03324485197663307,0.21729626134037971,0,0.0,0.0,0.0
59.0,presencial,0.09050680696964264,0.07663630694150925,0.16714311391115189,0,0.0,0.0,0.0
60.0,presencial,0.13116972148418427,0.0927075669169426,0.22387728840112686,0,0.0,0.0,0.0
61.0,presencial,,,,0,,,
62.0,presencial,,,,0,,,
63.0,presencial,0.31994637846946716,0.04739104583859444,0.3673374243080616,0,0.0,1.0,0.3673374243080616
64.0,presencial,0.3861164450645447,0.04175109416246414,0.4278675392270088,0,0.0,1.0,0.4278675392270088
65.0,presencial,0.273628294467926,0.09148769825696945,0.3651159927248955,0,0.0,1.0,0.3651159927248955
