Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
21,presencial,0.16682401299476624,0.058004919439554214,0.22482893243432045,0,0.0,0.0,0.0
22,presencial,0.4290921688079834,0.027041932567954063,0.45613410137593746,0,0.0,1.0,0.45613410137593746
23,presencial,0.00917802657932043,0.7935885787010193,0.8027666052803397,-1,-0.8027666052803397,-1.0,-0.8027666052803397
24,presencial,0.04063085466623306,0.2285367101430893,0.26916756480932236,0,0.0,0.0,0.0
25,presencial,0.045697808265686035,0.10624969750642776,0.1519475057721138,0,0.0,0.0,0.0
26,presencial,0.5537431836128235,0.01589752361178398,0.5696407072246075,1,0.5696407072246075,1.0,0.5696407072246075
27,presencial,0.12718425691127777,0.08366813510656357,0.21085239201784134,0,0.0,0.0,0.0
28,presencial,0.005416863597929478,0.6884221434593201,0.6938390070572495,-1,-0.6938390070572495,-1.0,-0.6938390070572495
29,presencial,0.04070613160729408,0.11088620871305466,0.15159234032034874,0,0.0,0.0,0.0
30,presencial,0.0789489820599556,0.05655588582158089,0.13550486788153648,0,0.0,0.0,0.0
31,presencial,0.039533987641334534,0.1572939157485962,0.19682790338993073,0,0.0,0.0,0.0
32,presencial,,,,0,,,
33,presencial,0.6494825482368469,0.016327988356351852,0.6658105365931988,1,0.6658105365931988,1.0,0.6658105365931988
34,presencial,0.06324522197246552,0.13385550677776337,0.19710072875022888,0,0.0,0.0,0.0
35,presencial,0.006956734694540501,0.6284751296043396,0.6354318642988801,-1,-0.6354318642988801,-1.0,-0.6354318642988801
36,presencial,0.010121524333953857,0.5470251441001892,0.5571466684341431,-1,-0.5571466684341431,-1.0,-0.5571466684341431
37,presencial,0.01078631728887558,0.8614323735237122,0.8722186908125877,-1,-0.8722186908125877,-1.0,-0.8722186908125877
38,presencial,0.014552527107298374,0.44365108013153076,0.45820360723882914,0,0.0,-1.0,-0.45820360723882914
39,presencial,0.03791084885597229,0.23678909242153168,0.27469994127750397,0,0.0,0.0,0.0
40,presencial,0.029491467401385307,0.2855502665042877,0.315041733905673,0,0.0,-1.0,-0.315041733905673
41,presencial,0.30990058183670044,0.018950801342725754,0.3288513831794262,0,0.0,1.0,0.3288513831794262
42,presencial,0.05628054961562157,0.06355393677949905,0.11983448639512062,0,0.0,0.0,0.0
43,presencial,0.03462210297584534,0.19414152204990387,0.2287636250257492,0,0.0,0.0,0.0
44,presencial,0.024879250675439835,0.24575099349021912,0.27063024416565895,0,0.0,0.0,0.0
45,presencial,0.03626605123281479,0.12392061203718185,0.16018666326999664,0,0.0,0.0,0.0
46,presencial,0.023045292124152184,0.19338975846767426,0.21643505059182644,0,0.0,0.0,0.0
47,presencial,0.16814930737018585,0.13923925161361694,0.3073885589838028,0,0.0,1.0,0.3073885589838028
48,presencial,0.005169776268303394,0.8044838309288025,0.8096536071971059,-1,-0.8096536071971059,-1.0,-0.8096536071971059
49,presencial,0.023142164573073387,0.25993624329566956,0.28307840786874294,0,0.0,0.0,0.0
50,presencial,0.09088993072509766,0.11541721224784851,0.20630714297294617,0,0.0,0.0,0.0
51,presencial,0.01273968257009983,0.6464554667472839,0.6591951493173838,-1,-0.6591951493173838,-1.0,-0.6591951493173838
52,presencial,0.7404308915138245,0.011040881276130676,0.7514717727899551,1,0.7514717727899551,1.0,0.7514717727899551
53,presencial,0.10705969482660294,0.028957616537809372,0.1360173113644123,0,0.0,0.0,0.0
54,presencial,0.05302481725811958,0.09491077065467834,0.14793558791279793,0,0.0,0.0,0.0
55,presencial,0.09868655353784561,0.04501371830701828,0.1437002718448639,0,0.0,0.0,0.0
56,presencial,0.0997781977057457,0.2480681985616684,0.3478463962674141,0,0.0,-1.0,-0.3478463962674141
57,presencial,0.014256615191698074,0.17903923988342285,0.19329585507512093,0,0.0,0.0,0.0
58,presencial,0.15807127952575684,0.050310421735048294,0.20838170126080513,0,0.0,0.0,0.0
59,presencial,0.3544851541519165,0.021958114579319954,0.37644326873123646,0,0.0,1.0,0.37644326873123646
60,presencial,0.7829446196556091,0.010936897248029709,0.7938815169036388,1,0.7938815169036388,1.0,0.7938815169036388
61,presencial,,,,0,,,
62,presencial,0.07727407664060593,0.07427981495857239,0.15155389159917831,0,0.0,0.0,0.0
63,presencial,0.1632029414176941,0.023533185943961143,0.18673612736165524,0,0.0,0.0,0.0
64,presencial,0.29707473516464233,0.031282298266887665,0.32835703343153,0,0.0,1.0,0.32835703343153
65,presencial,0.11475908011198044,0.07207787781953812,0.18683695793151855,0,0.0,0.0,0.0
