Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
44,cfk,0.008682801388204098,0.8489482402801514,0.8576310416683555,-1,-0.8576310416683555,-1,-0.8576310416683555
45,cfk,0.03447486832737923,0.31050217151641846,0.3449770398437977,0,0.0,-1,-0.3449770398437977
46,cfk,0.024033427238464355,0.3341663181781769,0.35819974541664124,0,0.0,-1,-0.35819974541664124
47,cfk,0.019981632009148598,0.2961375117301941,0.3161191437393427,0,0.0,-1,-0.3161191437393427
48,cfk,0.04770222306251526,0.27044734358787537,0.3181495666503906,0,0.0,-1,-0.3181495666503906
49,cfk,0.010235239751636982,0.7580976486206055,0.7683328883722425,-1,-0.7683328883722425,-1,-0.7683328883722425
50,cfk,0.01715155318379402,0.34505683183670044,0.36220838502049446,0,0.0,-1,-0.36220838502049446
51,cfk,0.009979043155908585,0.674473226070404,0.6844522692263126,-1,-0.6844522692263126,-1,-0.6844522692263126
52,cfk,0.02293708175420761,0.45347389578819275,0.47641097754240036,0,0.0,-1,-0.47641097754240036
53,cfk,0.06132103130221367,0.14548446238040924,0.2068054936826229,0,0.0,0,0.0
54,cfk,0.014519348740577698,0.21968574821949005,0.23420509696006775,0,0.0,0,0.0
55,cfk,0.01615205407142639,0.36764654517173767,0.38379859924316406,0,0.0,-1,-0.38379859924316406
56,cfk,0.14894132316112518,0.0818997323513031,0.23084105551242828,0,0.0,0,0.0
57,cfk,0.018161552026867867,0.5792037844657898,0.5973653364926577,-1,-0.5973653364926577,-1,-0.5973653364926577
58,cfk,0.011576302349567413,0.6870486736297607,0.6986249759793282,-1,-0.6986249759793282,-1,-0.6986249759793282
59,cfk,0.0204742643982172,0.5342240929603577,0.5546983573585749,-1,-0.5546983573585749,-1,-0.5546983573585749
60,cfk,0.011254949495196342,0.6209181547164917,0.632173104211688,-1,-0.632173104211688,-1,-0.632173104211688
61,cfk,0.050490446388721466,0.31692367792129517,0.36741412431001663,0,0.0,-1,-0.36741412431001663
62,cfk,0.023865927010774612,0.26192283630371094,0.28578876331448555,0,0.0,0,0.0
63,cfk,0.022759627550840378,0.6217749714851379,0.6445345990359783,-1,-0.6445345990359783,-1,-0.6445345990359783
64,cfk,0.023344174027442932,0.22501800954341888,0.24836218357086182,0,0.0,0,0.0
65,cfk,0.03475493565201759,0.1421637386083603,0.17691867426037788,0,0.0,0,0.0
